time,server2,server3,server4
0,-,990006720,57983040
1,-,-,715840
2,182632800,625413120,420198080
3,217560000,511573759,715839
4,180868799,812014400,2863360
5,240256800,594863040,215467840
6,216148800,691501440,89480000
7,209680800,230500479,745905279
8,224145600,10737600,755927040
9,243784799,44382080,675752960
10,259308000,39371199,692217279
11,199567200,10737600,743041920
12,223910399,24338559,762369599
13,252016799,9305920,746621120
14,-,65141439,428788159
15,231554400,694364799,0
16,186631199,765232960,141736320
17,292941599,221194559,471022719
18,214149600,618740800,35076160
19,205564799,748768639,49392959
20,252369600,364362559,648551039
21,175341599,35076159,765232959
22,175341599,25054400,720135040
23,208151999,31496959,798161599
24,187219200,13600959,765948799
25,236258399,17180159,753518719
26,218853599,17180159,744473599
27,204741599,715840,808899200
28,-,29349439,748052799
29,326457599,18611839,733020159
30,-,158200639,234079679
31,212032799,721566719,88048319
32,243314399,642108480,38655360
33,233671199,317832959,705818239
34,224028000,10021759,594863039
35,327045599,29349439,751631999
36,198861599,1431679,848270399
37,163228799,2147520,815341760
38,185690399,5726719,765232959
39,279888000,43666239,619917439
40,193334399,511109760,32928640
41,204741599,664299519,376279999
42,234612000,60846400,695332480
43,227203199,37939519,737315199
44,205917600,14316800,765232960
45,167462400,86616640,347898240
46,-,819636799,4295039
47,237316800,709397440,258418240
48,258131999,115966079,415187199
49,205212000,738031040,0
50,181809599,806035840,2147520
51,190159200,785740479,2863359
52,224380800,756894720,10737600
53,224263199,526142399,500372159
54,222969600,26486080,706534080
55,228849599,17896000,778118080
56,173812800,0,782413119
57,222969600,15032640,725145920
58,298704000,500372159,37939519
59,-,586988800,322128000
60,217089599,36507840,752347840
61,190512000,371520959,115250239
62,-,781697280,30708160
63,225086399,610611519,216899519
64,197920800,720850880,715840
65,178634399,806035840,1431680
66,189218400,803888319,2147519
67,166168800,801024960,4295040
68,217324799,764981119,2863359
69,187454400,795550080,2147520
70,165227999,811762560,2147520
71,217089600,770959679,0
72,172401600,807467520,4295040
73,280005599,448831679,396323519
74,256250399,256986560,443356800
75,-,638529280,1431680
76,226144800,750916159,8590079
77,155349599,785276480,5010880
78,-,825363519,715839
79,196039200,792434880,2863360
80,175223999,811046720,715840
81,189453600,780981440,715840
82,170284800,816057599,5010879
83,221440800,522563200,498224640
84,141590399,21475200,906969280
85,0,715840,992870080
86,0,0,993585920
87,0,7158399,991438399
88,0,715840,981416640
89,0,5726720,948488000
90,0,92343360,934887040
91,0,0,992870080
92,0,1431679,990006719
93,0,2147520,987859200
94,35279999,0,912696000
95,254604000,89480000,541175040
96,-,526858240,5726720
97,180751200,801024959,6442559
98,223087200,560502720,481760320
99,262835999,8590080,673605440
100,208269600,505383040,2863360
101,172636800,812478400,65141440
102,220147200,210456959,800309119
103,196980000,12169280,771675520
104,203918399,51540480,726577600
105,230966400,25054400,654993600
106,238492800,52972160,778118080
107,191452800,4295039,722998399
108,256368000,26486080,483192000
109,221440800,728725120,16464320
110,195216000,705818240,16464320
111,-,794582400,1431680
112,165698400,836101119,10021759
113,220382400,760222080,18611840
114,176517599,791003200,7158400
115,190747200,783844800,5726720
116,193216800,789571520,9305920
117,181927200,787423999,1431679
118,180163200,787424000,16464320
119,218618399,772391360,5010880
120,169696800,791719040,47245440
121,245548800,227637120,755211200
122,176400000,3579199,788855679
123,202154400,35076160,729440960
124,254133600,17896000,729440960
125,230378400,27917760,709397440
126,-,198287680,539027520
127,248371200,27917759,745905279
128,187101600,12885120,775970560
129,288472799,65141440,624212480
130,225556800,452410880,230500480
131,277065600,236943040,540459200
132,222969600,25770239,738031039
133,182515200,22906880,760222080
134,239080799,7874240,745189440
135,202977600,5726720,804604160
136,202742400,18611840,726577600
137,215913600,10021759,745905279
138,268833600,75879040,584125440
139,272361600,16464320,717271680
140,236258400,45813760,508962240
141,246254400,585557120,25054400
142,-,696512319,335728959
143,198038400,22906880,781697280
144,319048799,85184960,513973120
145,350448000,68004800,573387840
146,301644000,20043520,693648960
147,217795200,11453439,761401919
148,206152800,13600960,786244160
149,194392799,10021760,757358720
150,181574400,7874240,774538880
151,202742400,7158400,757106880
152,183103200,319264639,194960319
153,-,817489280,5010880
154,229790399,700807360,364362560
155,208387200,330718080,136009600
156,233906400,743505920,7874240
157,238963200,736135359,15032639
158,240139200,719419200,7874240
159,167697599,813910080,4295040
160,207681600,767380479,715839
161,189336000,798877440,0
162,198979199,778833919,9305919
163,187454400,789571520,2863360
164,195098399,776686399,26486079
165,182868000,775970559,715839
166,229084799,763085440,12885120
167,210621599,584841279,434514879
168,219206400,15748480,747336960
169,234494399,20043519,743041919
170,215796000,22191039,775254719
171,218971199,17180160,729440960
172,-,40802879,709397439
173,254721600,20043520,691501440
174,213091199,8590079,793150719
175,256603200,25054399,533300799
176,414304799,247680640,210456960
177,194745599,777402239,4295039
178,245666400,697944000,271303360
179,300585599,296357759,150326399
180,390314400,407312959,435230719
181,211562399,218331200,606316480
182,191335199,4295039,761653759
183,225086400,33644480,571240320
184,249076800,135293759,733735999
185,309170399,28633599,662151999
186,-,45097920,593431360
187,179810400,355056639,171801599
188,-,791719040,5726720
189,224498399,607748159,400154559
190,368793600,122408639,513257279
191,206035199,17896000,755211200
192,199214399,2147519,774538879
193,262248000,40802880,724430080
194,203683199,5726719,774538879
195,260836800,34360319,545470079
196,222616799,529005760,27201920
197,284474399,261997439,678616319
198,237552000,313037760,224773760
199,275419199,682195519,45813759
200,193569599,745189439,8590079
201,279770399,763801280,20759360
202,218736000,646403519,59414719
203,-,734451840,8590080
204,226144799,705102399,30065279
205,207799200,798161599,3579199
206,175106399,808183360,715840
207,166756799,821068479,0
208,186160800,778118080,715840
209,215207999,781697279,5726719
210,184514400,785992319,0
211,190629599,781697280,0
212,176164799,813658239,0
213,167697600,815593600,0
214,194039999,799341439,0
215,198391200,789823359,715839
216,168520799,816057600,715840
217,228496800,780265599,715839
218,220147199,756642880,2863360
219,-,763801279,0
220,176870400,806751679,3579199
221,181691999,803888320,715840
222,168403199,817489279,2863359
223,194863200,782413120,13600960
224,227320799,648551039,125271999
225,260248800,676468799,20759359
226,324811199,647583360,14316800
227,175341599,789107519,12169279
228,291883200,658572800,293494400
229,218383199,12885119,776434559
230,177576000,4295039,791255039
231,223087199,5726720,699375680
232,235787999,13600959,791719039
233,254721599,10737600,578398720
234,-,132430399,736599359
235,196862400,11453439,767380479
236,297527999,73731520,382974400
237,251075999,696512319,715839
238,181809600,803888320,16464320
239,275889599,633518399,169654079
240,222616800,159632319,775970559
241,173459999,9305920,807467520
242,201331199,19327679,724430079
243,298939200,57983040,611327360
244,193922399,32212799,813910079
245,184749600,2863359,762369599
246,242726399,27201920,695080640
247,220264800,55119679,705102399
248,-,480792640,96638400
249,253428000,638781119,23622719
250,-,637813439,62993919
251,238257599,719419200,30781120
252,210268799,753063679,16464319
253,183573600,791719040,10021760
254,201801599,781697279,2147519
255,276948000,681479679,302800319
256,186395999,15748480,736599360
257,228026399,12169279,775970559
258,215913600,13600960,762369600
259,188395199,5726719,797445759
260,204624000,80174079,466011839
261,210386399,678616320,61562240
262,254368800,572671999,245533119
263,257073599,77310720,792434880
264,289178400,80174079,586272959
265,299409599,148894719,314969599
266,-,532584960,443820800
267,184279199,35791999,644971839
268,243549600,513257280,35076160
269,201448799,770959679,8590079
270,205329600,392280319,647119359
271,256132799,121692800,327138880
272,256250399,675752959,338592319
273,234494400,2863360,748052800
274,236846399,19327679,690069759
275,278124000,291346879,425924799
276,272008799,35540160,676468800
277,237904800,165610879,426640639
278,-,178960000,728725120
279,216736799,20759359,741610239
280,184279199,32928639,701987199
281,-,3579200,799845120
282,166991999,0,859007999
283,200978400,24338560,733020160
284,226027199,25770239,715124159
285,236493600,68720639,685058879
286,212385599,5010880,785276480
287,169461599,3579199,779549759
288,235552800,10021760,761653760
289,181809599,2147519,769527999
290,248724000,33644479,682195519
291,217442399,41518720,773107200
292,215325599,7874239,725861759
293,203095200,11453440,755927040
294,205564799,39371199,768096319
295,208387200,4295039,778118079
296,179810399,2863360,785276480
297,-,0,811762559
298,155467200,2147520,732304320
