time,tcp,udp
0,1020072000,960556800
1,993585920,956911200
2,987143360,957263999
3,990722559,956676000
4,989290880,957264000
5,991438400,956676000
6,989290880,957264000
7,991438399,957263999
8,990006720,956676000
9,987859200,957264000
10,990006719,956675999
11,990006720,957264000
12,990006719,956675999
13,991438400,957264000
14,989290879,957263999
15,990006719,956675999
16,989290880,957264000
17,990006719,956675999
18,990006720,957264000
19,990006719,956675999
20,990006719,957263999
21,992154239,957263999
22,987859200,956676000
23,990006719,957263999
24,991438399,956675999
25,988575039,957263999
26,990006719,957263999
27,990006720,956676000
28,990722559,957263999
29,989290879,956675999
30,990722559,957263999
31,989290879,956675999
32,990722560,957264000
33,990006719,957263999
34,989290879,956675999
35,990722559,957263999
36,990006719,956675999
37,991438400,957264000
38,989290879,957028799
39,989290879,956911199
40,990006720,957264000
41,990722559,956675999
42,989290880,957264000
43,990006719,956675999
44,990006720,957264000
45,991438400,957264000
46,989290879,956675999
47,990722560,957264000
48,988575039,956675999
49,990006720,957264000
50,991438400,956676000
51,990006719,957263999
52,990722560,957264000
53,987859199,956675999
54,990722560,957264000
55,990722560,956676000
56,988575039,957263999
57,990006720,957264000
58,990722559,956675999
59,989290880,957264000
60,990722560,956676000
61,989290879,957263999
62,990722560,956676000
63,990722559,957263999
64,989290880,957264000
65,990006720,956676000
66,990006719,957263999
67,990006720,956676000
68,990006719,957263999
69,990722560,956676000
70,988575040,957264000
71,991438399,957263999
72,990006720,956676000
73,990006719,957263999
74,989290880,956676000
75,990006720,957264000
76,991438399,957263999
77,988575040,956676000
78,990722559,957263999
79,989290880,956676000
80,990006720,957264000
81,921286080,956676000
82,988575039,957263999
83,990006720,957264000
84,990006720,956676000
85,989290880,957264000
86,990006720,956676000
87,990006719,957263999
88,990722560,957264000
89,990722560,956676000
90,988575040,957264000
91,990006720,956676000
92,990006719,957263999
93,990006720,956676000
94,990006720,957264000
95,990006720,957264000
96,990006720,956676000
97,990006719,957263999
98,990006720,956676000
99,990722560,957264000
100,990006720,956676000
101,990006720,957264000
102,990006719,957263999
103,990006720,956676000
104,990722560,957264000
105,989290880,956676000
106,990006720,957264000
107,990006719,956911199
108,990006720,957028800
109,990006720,957264000
110,990006720,956676000
111,990006720,957264000
112,990006719,956675999
113,990006720,957264000
114,990006720,957264000
115,989290880,956676000
116,990006720,957264000
117,992154239,956675999
118,988575040,957264000
119,990006720,956676000
120,990006720,957264000
121,990006720,957264000
122,990006719,956675999
123,990006720,957264000
124,990006720,956676000
125,990006720,957264000
126,990722560,956676000
127,989290879,957263999
128,990006720,957264000
129,990006720,956676000
130,990006720,957264000
131,990006720,956676000
132,990722559,957263999
133,989290880,957264000
134,991438400,956676000
135,988575040,957264000
136,990722560,956676000
137,990006719,957263999
138,990006720,956676000
139,990006720,957264000
140,990006720,957264000
141,990722560,956676000
142,989290879,957263999
143,990722560,956676000
144,989290880,957264000
145,990006720,957264000
146,992154240,956676000
147,987859199,957263999
148,990006720,956676000
149,990006720,957264000
150,990722560,956676000
151,990006720,957264000
152,988575039,957263999
153,990722560,956676000
154,990006720,957264000
155,990722560,956676000
156,989290880,957264000
157,989290879,956675999
158,990722560,957264000
159,990006720,957264000
160,990006719,956675999
161,990722560,957264000
162,990722559,956675999
163,989290880,957264000
164,990006719,957263999
165,990006719,956675999
166,989290880,957264000
167,990722559,956675999
168,989290880,957264000
169,990722559,956675999
170,990006719,957263999
171,990006720,957264000
172,990006719,956675999
173,989290880,957264000
174,991438399,956675999
175,989290879,957263999
176,990006720,956676000
177,990006719,957263999
178,990006720,957264000
179,990722559,956675999
180,989290879,957263999
181,990006720,956676000
182,990006719,957263999
183,989290880,957264000
184,990722559,956675999
185,990006719,957263999
186,990722560,956676000
187,989290879,957263999
188,991438400,956676000
189,988575039,957263999
190,992154239,957263999
191,987859200,956676000
192,990722559,957263999
193,989290880,956676000
194,990006719,957263999
195,990722559,957263999
196,989290880,956676000
197,990722559,957263999
198,990006720,956676000
199,988575039,957263999
200,990722559,956675999
201,990006720,957264000
202,990722559,957263999
203,991438400,956676000
204,989290879,957263999
205,989290879,956675999
206,990006720,957264000
207,991438399,956675999
208,987859200,957264000
209,989290879,957263999
210,992154239,956675999
211,989290880,957264000
212,990006719,956675999
213,989290880,957264000
214,991438399,957263999
215,990006719,956675999
216,990006720,957264000
217,991438399,956675999
218,987859200,957264000
219,990722559,956675999
220,990006719,957263999
221,992870080,957264000
222,986427519,956675999
223,991438400,957264000
224,990006719,956675999
225,990006719,957263999
226,989290880,956676000
227,990006719,957263999
228,990006720,957264000
229,990006719,956675999
230,990006719,957263999
231,990006720,956676000
232,992154239,957263999
233,987143360,957264000
234,990006719,956675999
235,993585919,957263999
236,988575040,956676000
237,988575039,957263999
238,990006720,956676000
239,990006719,957263999
240,990722559,957263999
241,989290880,956676000
242,990722559,957263999
243,989290880,956676000
244,990006719,957263999
245,990006719,956675999
246,990006720,957264000
247,990006719,957263999
248,990006720,956676000
249,990006719,957263999
250,990006719,956675999
251,990006720,957264000
252,990006719,957263999
253,990006720,956676000
254,990006719,957263999
255,990006719,956675999
256,992154240,957264000
257,988575039,956675999
258,989290880,957264000
259,991438399,957263999
260,988575039,956675999
261,990722560,957264000
262,990006719,956675999
263,990722560,957264000
264,989290879,957263999
265,989290879,956675999
266,990006720,957264000
267,990006719,956675999
268,990006720,957264000
269,990006719,956675999
270,990006719,957263999
271,990006720,957264000
272,990006719,956675999
273,990006720,957264000
274,990722559,956675999
275,990006719,957263999
276,989290880,956676000
277,990722559,957263999
278,990722560,957264000
279,989290879,956675999
280,990722559,957263999
281,989290880,956676000
282,990006719,957263999
283,990006720,957264000
284,990006719,956675999
285,990006719,957263999
286,990006720,956676000
287,990006719,957263999
288,990006720,956676000
