time,server2,server3,server4
0,960792000,-,-
1,927393600,-,-
2,762635999,-,154621440
3,813086400,-,161779840
4,755462400,-,181823360
5,780864000,-,148178879
6,762518400,98785920,125272000
7,755462399,17180160,168938240
8,733118400,130282880,127419520
9,766281600,45813759,136725439
10,763223999,114534400,63709760
11,803208000,40087040,160348160
12,761224799,41518720,135293759
13,771573600,94490879,133862080
14,783098399,71584000,89479999
15,767457599,130282880,82321600
16,823552800,72299839,63709759
17,754874399,64425600,122408639
18,778394400,45097919,160348160
19,736411199,108091840,69436479
20,769339199,73731519,143883840
21,767810399,141020479,58698879
22,733118400,188265920,47245439
23,784391999,83037439,113818559
24,758637599,116681920,65141440
25,737116799,18611839,204014399
26,735587999,121692799,83037439
27,773102400,135293759,92343359
28,790859999,115250240,79458239
29,760401599,34360319,143883840
30,773925599,68004799,99501759
31,803913599,60846399,99501759
32,790977600,111671039,92343359
33,740527199,65141440,138872959
34,778629599,106660159,87332480
35,754874399,75879039,128135359
36,758990399,10021759,174664959
37,751464000,199003519,37939519
38,774395999,134577920,68720639
39,798856799,45813759,126703680
40,785097600,27201919,128851199
41,738527999,57267199,168938239
42,731236800,35791999,178244160
43,751346399,107376000,130998719
44,793917600,77310719,136009600
45,743702400,31496959,105228479
46,786861599,171801600,56551360
47,772396800,40087039,139588800
48,750052799,45813760,146031359
49,778394400,61562239,144599680
50,737822400,102365120,115966079
51,777335999,187550080,11453440
52,741468000,110239359,103080960
53,780746399,75879040,119545279
54,755344800,37223679,152473920
55,754404000,80889920,111671039
56,819201599,121692800,79458240
57,736528800,136725439,26486080
58,809205599,101649280,100217599
59,804501600,50108799,102365120
60,795328800,155337280,15748479
61,768986399,112386880,66573120
62,772161600,107375999,78742400
63,802972799,55835520,125987839
64,766164000,103080959,90195840
65,718065600,65141440,130998719
66,797445599,141020480,71584000
67,806148000,45813759,118113600
68,760283999,106660160,72299839
69,823435200,110239359,67288960
70,760284000,52256320,128851199
71,744878399,105944320,82321600
72,821553600,48677119,126703680
73,753110399,2147520,176812479
74,743702400,183970879,43666240
75,806148000,92343360,70152319
76,789801599,47961280,126703680
77,798739200,130998719,44382080
78,822376799,148178880,3579199
79,733118400,101649279,78026560
80,729237600,95206720,156768959
81,765576000,126703680,57983040
82,757931999,118829439,109523520
83,833901600,83037440,74447360
84,776160000,106660159,47245439
85,790272000,120261120,47245440
