time,server2,server3,server4
0,-,1007186880,-
1,713832000,362215040,-
2,927158400,37223680,-
3,787096799,154621439,-
4,873768000,98785920,-
5,894700800,73015680,-
6,910341600,42234560,-
7,809323200,148894719,-
8,740174399,32928640,-
9,494272800,2863360,402302080
10,553308000,21475199,464580160
11,501916799,715840,405881280
12,546957600,1431679,458137599
13,518380799,0,425924800
14,506738400,715839,446684160
15,517675199,4295039,465296000
16,513794399,1431680,422345599
17,516734400,2147519,468159360
18,502151999,1431680,449547520
19,493449600,1431679,461716799
20,491803199,0,497256960
21,498271199,1431679,483907839
22,520379999,0,453126719
23,504033600,0,-
24,536961599,0,479360959
25,558129599,0,449083520
26,513559199,0,404449599
27,508031999,0,460749120
28,490862400,0,482012159
29,510148799,0,482476159
30,501916799,0,458137599
31,529670399,0,467443520
32,557188799,0,341455679
33,605522400,0,337876479
34,506267999,0,491678399
35,535667999,0,432367359
36,527083199,0,440957440
37,563186399,1431680,430219839
38,508737600,715839,417798719
39,651621599,22191039,336192959
40,516381599,715840,450889279
41,506032800,715839,461716800
42,528023999,0,470306879
43,510736800,715839,425208959
44,516263999,0,449295679
45,498388800,715840,452662720
46,529905600,0,-
47,519909599,0,447148159
48,521556000,0,434050879
49,500975999,0,483907840
50,487334400,0,481044479
51,502857600,0,490350400
52,517087199,0,454558399
53,527083200,0,426640640
54,505091999,0,448115840
55,506738400,0,492246079
56,494508000,0,465547840
57,495566399,0,478181119
58,521908800,0,461716800
59,538725599,0,414471360
60,547192800,0,439525759
61,504033600,0,460285120
62,487922399,0,471738559
63,538137600,0,435230720
64,538725599,0,398722880
65,515558400,0,435946560
66,543782400,0,-
67,498153599,0,467191679
68,511324800,0,375100160
69,537196799,0,-
70,504386400,0,455274239
71,498506400,0,470306880
72,515205599,0,481760319
73,506032800,0,436662400
74,518733599,0,443104960
75,519204000,1431680,505383039
76,666321600,0,246248960
77,560481599,0,395859519
78,495919200,0,502267840
79,530493599,0,478432960
80,534962400,0,432367359
81,501328800,0,453126720
82,486511200,4295039,473886079
83,505679999,0,485339520
84,491685600,0,461716799
85,511442400,715840,-
86,695604000,0,289915200
87,518380800,0,496077120
88,498859199,715840,-
89,512500800,0,473886080
90,503916000,0,483192000
91,526142400,0,455274239
92,542841600,0,420913920
93,493449599,0,463148480
94,492979200,0,486055360
95,498624000,0,467443520
96,500976000,0,442389119
97,513088800,0,473886080
98,538725599,0,410892160
99,522614400,0,464580160
100,533551200,715840,441673280
101,494978400,0,454558399
102,502857600,0,498224640
103,489568799,0,473886080
104,517087200,0,476749440
105,509560800,0,443820800
106,506620800,0,472454399
107,522026400,1431679,440957440
108,515793599,0,-
109,504151200,0,441673280
110,494508000,0,454558400
111,495566400,0,498476480
112,508149600,0,-
113,493919999,0,493725760
114,493449600,0,488202880
115,502034400,0,469591040
116,512383200,0,472454399
117,503445600,0,461716800
118,507679199,0,458853440
119,799562400,0,282040960
120,531669600,0,279893440
121,517792800,0,464001919
122,530140800,0,467443520
123,529435199,0,467443520
124,499212000,0,440957440
125,497565600,0,471022720
126,499329600,0,478896959
127,499329600,0,469591040
128,527906399,0,443104960
129,507208800,0,443104960
130,497683200,0,490098560
131,516264000,0,463148480
132,493096800,0,-
133,521791199,0,451695040
134,520968000,0,451695040
135,569889600,0,360783360
136,497212800,0,436410559
137,538725600,0,507782400
138,516381599,2147520,441673280
139,512736000,0,463754880
140,516499200,1431680,461252800
141,497565600,0,465295999
142,492861600,0,486055360
143,483100799,0,481044480
144,515676000,0,480328640
145,503916000,0,452410880
146,495566400,0,480328639
147,515205600,715839,469591040
148,521791199,0,453126720
149,499212000,1431680,449547520
150,527906400,1431680,-
151,497095200,1431680,444536639
152,516734400,0,426640640
153,515440799,715840,477465280
154,533551200,0,471022720
155,510619200,0,448831680
156,569066400,715840,457421759
157,715948800,0,179675840
158,520379999,1431680,392744320
159,503798400,0,499908160
160,501446400,2147519,487487040
161,548721599,0,449547519
162,504033600,2147519,431651520
163,493567199,0,482476160
164,500505600,0,444536640
165,516851999,0,456705920
166,517557599,0,481760319
167,553896000,0,398007040
168,509678399,0,455990080
169,494390400,0,484623679
170,531081599,0,441673280
171,504033599,0,455274239
172,520027200,0,415187200
173,535079999,0,488666879
174,520262400,0,446935999
175,496859999,715839,476033600
176,500387999,0,462432639
177,571065600,0,445252479
178,514970399,0,493213759
179,521791200,0,-
180,535550399,0,446684160
181,518380799,0,403017919
182,495448800,0,485339520
183,529787999,0,438809919
184,503916000,0,473886079
185,499094399,0,469339200
186,491567999,0,466979519
187,725004000,0,344319040
188,504503999,0,341455679
189,499800000,0,479940479
190,561539999,0,398007040
191,506503199,0,460285119
192,512971200,0,479612800
193,559187999,0,427356479
194,511324800,0,410176319
195,501681599,0,466727680
196,504151199,0,499656319
197,519321600,0,458137599
198,522731999,0,-
199,499800000,0,472918400
200,521791199,0,-
201,501093599,0,458389439
202,512500800,0,485339520
203,516616799,0,423777279
204,510266400,0,468159359
205,507679199,0,468875200
206,501681599,715840,471022719
207,483571200,0,472454400
208,524260799,715840,478896959
209,511795200,0,448831679
210,515911199,0,445968320
211,521203199,0,466727679
212,545664000,0,451695040
213,506503199,0,413755519
214,535903200,2863359,412323839
215,496036799,0,448831680
216,500858399,715840,497972799
