time,server2,server3,server4
0,944680800,-,-
1,957264000,-,-
2,947973600,-,-
3,954323999,-,-
4,950796000,-,-
5,955970400,-,-
6,956676000,-,-
7,923042399,77036160,-
8,918926400,-,-
9,918456000,38655360,-
10,919043999,39320000,-
11,918456000,38655360,-
12,918926399,-,-
13,918573600,40802880,-
14,918338399,39371200,-
15,918926399,40087039,-
16,918456000,40802880,-
17,918926399,37939520,-
18,918456000,40087039,-
19,918926399,39371200,-
20,917867999,40087039,-
21,919396799,40087040,-
22,918456000,39371199,-
23,918455999,39595519,-
24,918926399,39371200,-
25,918455999,41518719,-
26,919043999,37939520,-
27,918926400,40802879,-
28,917867999,38655359,-
29,919396799,41518719,-
30,917985599,37939520,-
31,918926399,39371199,-
32,918456000,40087039,-
33,918808799,39371199,-
34,918573599,40802879,-
35,918808799,38655360,-
36,918926399,40087039,-
37,917868000,39371199,-
38,919043999,40087039,-
39,918338399,40087039,-
40,919044000,38655360,-
41,918455999,40087039,-
42,918926400,40087039,-
43,918573599,40087039,-
44,918808800,39371199,-
45,918926400,40087040,-
46,917985599,39371199,-
47,918926400,39371199,-
48,917867999,39371200,-
49,919396800,39371199,-
50,918456000,40802880,-
51,918926399,39371199,-
52,918573600,40087040,-
53,918338399,39371200,-
54,918926400,40087039,-
55,918456000,39371200,-
56,918926399,39371199,-
57,918573600,39371200,-
58,918926399,40087040,-
59,917868000,40087039,-
60,918926400,39371200,-
61,919043999,40087039,-
62,918338400,39371200,-
63,918926399,40087040,-
64,918456000,39371199,-
65,919044000,40087040,-
66,918455999,40087039,-
67,918926400,40087040,-
68,917867999,40087040,-
69,918926400,37939519,-
70,919044000,40087040,-
71,918338399,39371199,-
72,918926400,40087040,-
73,918455999,39371200,-
74,918926400,39371199,-
75,918456000,40802880,-
76,918808799,40087039,-
77,918338400,38655360,-
78,918573599,40087040,-
79,919044000,40087039,-
80,918338400,38655360,-
81,918926400,40802879,-
82,918455999,38655360,-
83,924571200,40087040,-
84,917868000,33644479,-
85,918926400,40802880,-
86,918456000,40802879,-
87,918926399,37939520,-
88,918456000,39371200,-
89,918926400,39371200,-
90,918573600,40087039,-
91,918808800,40087040,-
92,918926399,39371200,-
93,917868000,39371200,-
94,919514400,39371200,-
95,917868000,40087039,-
96,919044000,39371200,-
97,918455999,40087040,-
98,918926400,39371200,-
99,918573600,40087040,-
100,918808800,39371199,-
101,918926400,40087040,-
102,917985599,40802880,-
103,918926400,38655360,-
104,918456000,39371200,-
105,918926400,40802879,-
106,918456000,38655360,-
107,918926399,39371200,-
108,918456000,40087040,-
109,918456000,39371200,-
110,918808800,40087039,-
111,918456000,39371200,-
112,918926399,39371200,-
113,918573600,40087040,-
114,918926400,39371200,-
115,917868000,40087039,-
116,919396800,39371200,-
117,918573599,40087040,-
118,918220800,40802880,-
119,918926400,40087040,-
120,918456000,37939519,-
121,918926400,39371200,-
122,918455999,40087040,-
123,919044000,39371200,-
124,917868000,40087040,-
125,919514400,40802879,-
126,918573600,39371200,-
127,918220799,38655360,-
128,919044000,41518720,-
129,931980000,38655360,-
130,918926400,25770239,-
131,918456000,38655360,-
132,918926399,41518720,-
133,918456000,37939520,-
134,918926400,40087040,-
135,917985600,40087039,-
136,918926400,40087040,-
137,918455999,38655360,-
138,918926400,39371200,-
139,923042400,40802880,-
140,918456000,34360319,-
141,918926400,39371200,-
142,918926399,40087040,-
143,917868000,40087040,-
144,918926400,38879680,-
145,919514400,40087039,-
146,917868000,39371200,-
147,919043999,39371200,-
148,918456000,40087040,-
149,918926400,40087040,-
150,918456000,40087039,-
151,918926400,40087040,-
152,917867999,40087040,-
