time,server2,server3,server4
0,620222400,-,-
1,173695200,-,-
2,223557599,759323840,-
3,179104800,821433280,-
4,220852800,753779519,-
5,221676000,752347840,-
6,203448000,-,-
7,216148799,760937920,-
8,183808800,793866559,-
9,227556000,755211200,-
10,195098399,771675520,-
11,185102400,811762559,-
12,254956799,733020160,-
13,157584000,808899199,-
14,214149599,773107200,-
15,182044799,808365759,-
16,190512000,804604159,-
17,258955199,686490560,-
18,212032800,796014079,-
19,154173599,-,-
20,186748799,810330880,-
21,198861599,810330879,-
22,175224000,791003199,-
23,173577599,791003200,-
24,185807999,801740799,-
25,172871999,811046719,-
26,176399999,825363519,-
27,180280800,777866239,-
28,189688799,834921280,-
29,217559999,738746879,-
30,194627999,802456639,-
31,199331999,789571519,-
32,156760800,812226559,-
33,212738399,797697600,-
34,198626399,758790399,-
35,203095199,791003199,-
36,203095199,-,-
37,204153600,767844479,-
38,207093599,826543360,-
39,200390399,734703679,-
40,197450400,796729919,-
41,174400799,-,-
42,194040000,800309119,-
43,160171199,-,-
44,171108000,825363519,-
45,230143200,775254720,-
46,178281599,775970560,-
47,192981600,789571519,-
48,157113599,818920960,-
49,186396000,803888319,-
50,185572800,783392000,-
51,202859999,828226880,-
52,203212800,753779519,-
53,163463999,806035840,-
54,240844800,770243839,-
55,198626400,770243840,-
56,200037599,775254720,-
57,170755200,-,-
58,198155999,812478399,-
59,171343200,787424000,-
60,167227200,802920639,-
61,182397599,814877760,-
62,180633600,809615040,-
63,178869599,803172480,-
64,178516800,795298239,-
65,217677600,796014080,-
66,159818399,798161600,-
67,227908800,782595519,-
68,203683199,770243840,-
69,162170400,808183359,-
70,184396800,816057600,-
71,190747199,784560640,-
72,235788000,785276479,-
73,169696799,769528000,-
74,163464000,821068479,-
75,176635200,-,-
76,204506399,799593280,-
77,199449600,-,-
78,181221599,789571519,-
79,200978400,778118079,-
80,175106400,824647680,-
81,233788800,780981440,-
82,-,756642880,-
83,235200,886209919,-
84,-,996449280,-
85,0,990722560,-
86,0,989290880,-
87,0,992870080,-
88,-,987143359,-
89,0,990722560,-
90,0,989290880,-
91,0,993585920,-
92,470399,986427520,-
93,104899200,936066879,-
94,203212800,823467840,-
95,226497600,-,-
96,196509600,735883520,-
97,209915999,774538880,-
98,177693600,808183359,-
99,214737600,785276480,-
100,192864000,-,-
101,196627200,770959680,-
102,169579199,811762560,-
103,153115200,818205119,-
104,172284000,796014080,-
105,197450400,784560640,-
106,163111200,835385280,-
107,180045599,797445760,-
108,197920800,791215359,-
109,193687200,805823680,-
110,176752800,813194240,-
111,184632000,785992320,-
112,194745599,798877440,-
113,173342400,803172479,-
114,172048800,798161600,-
115,182162400,-,-
116,154526400,817489280,-
117,167579999,-,-
118,179340000,804604160,-
119,205094400,785276480,-
120,184632000,-,-
121,190747200,798877440,-
122,205564799,782413120,-
123,153820800,821784319,-
124,217089600,768812160,-
125,255897600,758074560,-
126,182750400,753779520,-
127,147352799,826795200,-
128,183456000,817489279,-
129,218500800,764517120,-
130,180751200,821068480,-
131,172989600,798877440,-
132,209798399,801740800,-
133,197215200,739462719,-
134,178046400,775254720,-
135,183338400,-,-
136,173577600,816521600,-
137,184631999,809866880,-
138,174753600,785276480,-
139,176282400,806751680,-
140,170167200,-,-
141,174988800,856144640,-
142,173459999,815341760,-
143,204388800,806751679,-
144,187572000,765948800,-
145,167580000,785276480,-
146,197097600,798161600,-
147,155937599,846122880,-
148,162405600,831090239,-
149,-,806035840,-
150,192746400,827511040,-
151,203095199,791003200,-
152,156055200,828226879,-
153,183926400,815341760,-
154,201448800,783844800,-
155,161229600,831090240,-
156,176987999,803636480,-
157,171813600,812730239,-
158,168285600,812478400,-
159,184161599,812478400,-
160,188160000,780729599,-
161,193451999,785528320,-
162,154173600,818920959,-
163,199919999,789571520,-
164,181456799,809615039,-
165,200743200,780265599,-
166,173812799,812478400,-
167,182750400,-,-
168,179104799,810330879,-
169,155702399,787888000,-
170,171225600,821784319,-
171,176517599,809615040,-
172,216501600,768560319,-
173,246607199,-,-
174,166756799,773823039,-
175,169108800,828226879,-
176,186278399,793866560,-
177,177811200,794582399,-
178,150057599,831806080,-
179,185337599,829658559,-
180,157348800,808278399,-
181,206270399,816057600,-
182,195333600,760937919,-
183,178516799,814625920,-
184,220499999,753779519,-
185,209328000,769991999,-
186,201095999,812730240,-
187,229790400,728725119,-
188,181927199,777402240,-
189,195921599,786708159,-
190,187807200,-,-
191,214267199,832521919,-
192,171931200,803888319,-
193,169931999,808899200,-
194,213326399,805319999,-
195,234259200,763085439,-
196,181927199,750200320,-
197,200743200,811046719,-
198,-,738746880,-
199,224851199,720135039,-
200,173695200,840396159,-
201,181809599,807467520,-
202,179104800,770959679,-
203,178869599,771675520,-
204,181339199,820100799,-
205,141120000,840647999,-
206,178516799,-,-
207,182044800,793150719,-
208,211091999,-,-
209,268245599,722998399,-
210,172754400,774538879,-
211,177105599,806035840,-
212,164287200,810330879,-
213,206975999,813910080,-
214,148293599,806035839,-
215,164052000,820352639,-
216,162052799,826543360,-
217,190629600,830626239,-
218,188630399,775970560,-
219,163346399,814374079,-
220,177340800,818456959,-
221,169696799,809615040,-
222,163111200,809615039,-
223,177928799,819636800,-
224,184984799,803172479,-
225,255074400,727293439,-
226,158642399,821068480,-
227,142766400,-,-
228,178869599,831806079,-
229,194275199,796729919,-
230,197920800,784560639,-
231,212738399,-,-
232,182868000,778118079,-
233,166874399,840396160,-
234,198391199,773107199,-
235,181692000,792434879,-
236,249076799,728009280,-
237,155820000,840860159,-
238,161935199,820604480,-
239,181103999,819636799,-
240,196156800,791003199,-
241,149587199,816773440,-
242,219088800,790287359,-
243,203800799,773823040,-
244,157113599,809615039,-
245,190864800,806751679,-
246,184514399,780981440,-
247,147000000,-,-
248,-,803172480,-
249,-,806035839,-
250,180515999,793866560,-
251,169696800,800309119,-
252,198273599,-,-
253,206387999,753779519,-
254,185337600,810330879,-
255,178751999,784560640,-
